Time resolution is 1 ps
WARNING: tb_four_stage_processor.uut.alu.DW_div_d_0.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_d_0.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_1.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_1.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_3.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_3.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_7.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_7.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_6.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_6.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_2.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_2.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_5.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_5.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_4.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_4.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_0.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_0.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_1.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_1.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_3.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_3.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_2.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_2.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_0.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_0.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_1.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_1.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_0.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_b_0.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_d_0.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_d_0.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_1.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_w_1.DWF_mod_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_3.DWF_div_uns: Division by zero
WARNING: tb_four_stage_processor.uut.alu.DW_div_h_3.DWF_mod_uns: Division by zero
